accommodates,beds,bathrooms,number_of_reviews,review_scores_rating,neighbourhood_cleansed,tipologia,host_is_superhost,price,atratividade_bairro,dist_centro_km
4,3.0,1.0,199,4.78,Santo António,T0,f,68.0,5,1.368478050455979
2,1.0,1.0,381,4.72,Santa Maria Maior,T0,t,62.0,5,0.7821710223604853
2,1.0,1.0,297,4.75,Santa Maria Maior,T0,t,72.0,5,0.7955373494049762
2,2.0,1.0,173,4.77,Santa Maria Maior,T0,t,75.0,5,0.9912227138573847
2,4.0,1.0,69,4.54,Santo António,T0,f,70.0,5,2.5004569570494994
2,1.0,1.0,179,4.36,Santa Maria Maior,T0,f,61.0,5,0.7983120754585822
2,1.0,1.0,32,4.03,São Domingos de Benfica,T0,f,67.0,1,5.327861753383597
2,1.0,1.0,19,3.89,São Domingos de Benfica,T0,f,74.0,1,5.3277512083809375
2,1.0,1.0,306,4.8,Santa Maria Maior,T0,t,68.0,5,1.0162217041164072
3,2.0,1.0,142,4.73,São Vicente,T0,t,69.0,4,1.3689810331624814
3,2.0,1.0,186,4.96,Avenidas Novas,T0,t,68.0,3,3.1974727891906394
3,3.0,1.0,76,4.86,Santa Maria Maior,T0,f,114.0,5,0.531263850374155
2,2.0,1.0,258,4.82,Santa Maria Maior,T0,t,85.0,5,0.6473982844068318
2,1.0,1.0,211,4.66,Penha de França,T0,f,43.0,2,1.6786064451376614
4,3.0,1.0,72,4.74,Parque das Nações,T0,f,56.0,3,7.703097986884901
2,1.0,1.0,4,4.0,Santa Maria Maior,T0,f,78.0,5,0.777565199582595
2,0.0,1.0,42,4.45,Santa Maria Maior,T0,f,40.0,5,0.8453762285768569
2,1.0,1.0,312,4.52,São Vicente,T0,f,48.0,4,1.7506138342268465
2,1.0,1.0,214,4.77,Estrela,T0,f,85.0,4,2.0579046382891453
2,2.0,1.0,465,4.93,Misericórdia,T0,t,145.0,5,0.9943728759668824
2,1.0,1.0,381,4.95,Misericórdia,T0,t,142.0,5,0.9510903133052029
2,2.0,1.0,73,4.7,Misericórdia,T0,f,86.0,5,1.4181448613658085
4,3.0,1.0,391,4.6,São Vicente,T0,f,81.0,4,1.1953071835303246
2,1.0,1.0,141,4.95,Santa Maria Maior,T0,t,108.0,5,0.3663478750412006
4,2.0,1.0,255,4.94,Arroios,T0,t,89.0,3,1.8112001677410396
2,1.0,1.0,143,4.86,Santa Maria Maior,T0,t,94.0,5,0.36891922996772003
2,1.0,1.0,169,4.66,Santa Maria Maior,T0,f,51.0,5,1.0854107402149533
2,1.0,1.0,32,4.78,Santa Maria Maior,T0,t,70.0,5,0.801741629631114
2,1.0,1.0,280,4.87,Santa Maria Maior,T0,t,85.0,5,0.7108427138142933
